01	00	北京
08	01	07	武川
08	01	04	和林
08	01	05	清水河
08	06	赤峰
08	06	11	喀喇沁
08	06	03	阿鲁旗
08	06	13	宁城
08	06	01	赤峰
08	06	06	巴林右旗
08	06	07	林西
08	06	04	浩尔吐
08	06	05	巴林左旗
08	06	08	克什克腾
08	06	09	翁牛特
08	06	12	八里罕
08	06	14	敖汉
08	06	15	宝国吐
08	06	10	岗子
08	07	鄂尔多斯
08	07	11	伊金霍洛
08	07	03	达拉特
08	07	13	东胜
08	07	01	鄂尔多斯
08	07	06	河南
08	07	07	伊克乌素
08	07	04	准格尔
08	07	05	鄂前旗
08	07	08	鄂托克
08	07	09	杭锦旗
08	07	12	乌审召
08	07	10	乌审旗
08	04	乌兰察布
08	04	02	卓资
08	04	03	化德
08	04	01	集宁
08	04	06	兴和
08	04	07	凉城
08	04	04	商都
08	04	10	察右后旗
08	04	08	察右前旗
08	04	09	察右中旗
08	04	12	丰镇
08	04	11	四子王旗
08	05	通辽
08	05	02	舍伯吐
08	05	03	科左中旗
08	05	01	通辽
08	05	06	开鲁
08	05	07	库伦
08	05	04	科左后旗
08	05	05	青龙山
08	05	08	奈曼
08	05	09	扎鲁特
08	05	101081108	霍林郭勒
08	05	11	巴雅尔吐胡硕
08	05	10	高力板
08	08	巴彦淖尔
08	08	02	五原
08	08	03	磴口
08	08	01	临河
08	08	06	乌中旗
08	08	07	乌后旗
08	08	04	乌前旗
08	08	05	大佘太
08	08	08	海力素
08	08	09	那仁宝力格
08	08	10	杭锦后旗
08	09	锡林郭勒
08	09	11	太仆寺
08	09	03	二连浩特
08	09	13	正镶白旗
08	09	01	锡林浩特
08	09	06	苏左旗
08	09	07	苏右旗
08	09	04	阿巴嘎
08	09	10	西乌旗
08	09	08	朱日和
08	09	09	东乌旗
08	09	16	博克图
08	09	12	镶黄旗
08	09	17	乌拉盖
08	09	15	多伦
08	09	14	正蓝旗
08	12	阿拉善盟
08	12	02	阿右旗
08	12	03	额济纳
08	12	01	阿左旗
08	12	06	锡林高勒
08	12	07	头道湖
08	12	04	拐子湖
08	12	05	吉兰太
08	12	08	中泉子
08	12	09	诺尔公
08	12	12	孪井滩
08	12	11	乌斯泰
08	12	10	雅布赖
08	11	兴安盟
08	11	02	阿尔山
08	11	03	科右中旗
08	11	01	乌兰浩特
08	11	06	索伦
08	11	07	突泉
08	11	04	胡尔勒
08	11	05	扎赉特
08	11	09	科右前旗
08	10	呼伦贝尔
08	10	02	小二沟
08	10	03	阿荣旗
08	10	01	海拉尔
08	10	06	鄂温克旗
08	10	07	陈旗
08	10	04	莫力达瓦
08	10	05	鄂伦春旗
08	10	08	新左旗
08	10	09	新右旗
08	10	16	图里河
08	10	12	扎兰屯
08	10	14	额尔古纳
08	10	11	牙克石
08	10	15	根河
08	10	10	满洲里
09	02	保定
09	02	02	满城
09	02	03	阜平
09	02	01	保定
09	02	06	高阳
09	02	07	容城
09	02	04	徐水
09	02	23	定兴
09	02	09	涞源
09	02	14	曲阳
09	02	24	清苑
09	02	25	博野
09	02	20	安国
09	02	21	高碑店
09	02	11	安新
09	02	10	望都
09	02	12	易县
09	02	15	蠡县
09	02	22	涞水
09	02	17	雄县
09	02	16	顺平
09	02	19	定州
09	02	18	涿州
09	02	05	唐县
09	03	张家口
09	03	02	宣化
09	03	03	张北
09	03	13	赤城
09	03	01	张家口
09	03	06	尚义
09	03	07	蔚县
09	03	04	康保
09	03	05	沽源
09	03	08	阳原
09	03	09	怀安
09	03	12	涿鹿
09	03	14	崇礼
09	03	11	怀来
09	03	10	万全
09	01	石家庄
09	01	02	井陉
09	01	03	正定
09	01	13	赵县
09	01	01	石家庄
09	01	06	灵寿
09	01	07	高邑
09	01	04	栾城
09	01	05	行唐
09	01	18	鹿泉
09	01	08	深泽
09	01	09	赞皇
09	01	16	晋州
09	01	12	元氏
09	01	17	新乐
09	01	14	辛集
09	01	11	平山
